"Time (UTCG)","yaw (deg)","pitch (deg)","roll (deg)","precession (deg)","nutation (deg)","spin (deg)","precession (deg)","nutation (deg)","spin (deg)","q1","q2","q3","q4","wx (deg/sec)","wy (deg/sec)","wz (deg/sec)","w mag (deg/sec)","RightAscension of w (deg)","Declination of w (deg)","Eigen-Angle (deg)","Eigen-Axis x","Eigen-Axis y","Eigen-Axis z"
25 Jul 2022 10:00:10.000,-180.000,4.133,90.000,-175.867,0.000,-90.000,-85.867,90.000,-90.000,-0.025498,0.706647,-0.706647,0.025499,0.000000,-0.052937,0.000008,0.052937,-90.000,0.009,177.078,-0.025507,0.706877,-0.706877
25 Jul 2022 10:00:20.000,-180.000,4.663,90.000,-175.337,0.000,-90.000,-85.337,90.000,-90.000,-0.028762,0.706522,-0.706522,0.028764,0.000000,-0.052937,0.000008,0.052937,-90.000,0.009,176.703,-0.028774,0.706814,-0.706814
25 Jul 2022 10:00:30.000,-180.000,5.192,90.000,-174.808,0.000,-90.000,-84.808,90.000,-90.000,-0.032025,0.706381,-0.706381,0.032028,0.000000,-0.052937,0.000008,0.052937,-90.000,0.009,176.329,-0.032041,0.706744,-0.706744
25 Jul 2022 10:00:40.000,-180.000,5.721,90.000,-174.279,0.000,-90.000,-84.279,90.000,-90.000,-0.035287,0.706226,-0.706226,0.035291,0.000000,-0.052937,0.000008,0.052937,-90.000,0.009,175.955,-0.035309,0.706666,-0.706666
25 Jul 2022 10:00:50.000,-180.000,6.251,90.000,-173.749,0.000,-90.000,-83.749,90.000,-90.000,-0.038549,0.706055,-0.706055,0.038554,0.000000,-0.052937,0.000009,0.052937,-90.000,0.010,175.581,-0.038578,0.706580,-0.706580
25 Jul 2022 10:01:00.000,-179.999,6.780,90.000,-173.220,0.001,-90.000,-83.220,90.000,-89.999,-0.041810,0.705870,-0.705869,0.041816,0.000000,-0.052937,0.000009,0.052937,-90.000,0.010,175.207,-0.041846,0.706487,-0.706487
25 Jul 2022 10:01:10.000,-179.999,7.309,90.000,-172.691,0.001,-90.000,-82.691,90.000,-89.999,-0.045069,0.705669,-0.705669,0.045077,0.000000,-0.052937,0.000010,0.052937,-90.000,0.011,174.833,-0.045115,0.706387,-0.706387
25 Jul 2022 10:01:20.000,-179.999,7.839,90.000,-172.161,0.001,-90.000,-82.161,90.000,-89.999,-0.048328,0.705453,-0.705453,0.048337,0.000000,-0.052937,0.000011,0.052937,-90.000,0.012,174.459,-0.048385,0.706279,-0.706278
25 Jul 2022 10:01:30.000,-179.999,8.368,90.000,-171.632,0.001,-90.000,-81.632,90.000,-89.999,-0.051586,0.705222,-0.705222,0.051596,0.000000,-0.052938,0.000011,0.052938,-90.000,0.012,174.085,-0.051655,0.706163,-0.706163
25 Jul 2022 10:01:40.000,-179.999,8.898,90.000,-171.102,0.001,-90.000,-81.102,90.000,-89.999,-0.054843,0.704976,-0.704976,0.054854,0.000000,-0.052938,0.000012,0.052938,-90.000,0.013,173.711,-0.054925,0.706040,-0.706039
25 Jul 2022 10:01:50.000,-179.999,9.427,90.000,-170.573,0.001,-90.000,-80.573,90.000,-89.999,-0.058098,0.704716,-0.704715,0.058111,0.000000,-0.052938,0.000012,0.052938,-90.000,0.013,173.337,-0.058196,0.705909,-0.705908
25 Jul 2022 10:02:00.000,-179.999,9.956,90.000,-170.044,0.001,-90.000,-80.044,90.000,-89.999,-0.061352,0.704440,-0.704439,0.061367,0.000000,-0.052938,0.000012,0.052938,-90.000,0.013,172.963,-0.061468,0.705770,-0.705769
25 Jul 2022 10:02:10.000,-179.999,10.486,90.000,-169.514,0.001,-90.000,-79.514,90.000,-89.999,-0.064605,0.704149,-0.704148,0.064621,0.000000,-0.052938,0.000012,0.052938,-90.000,0.013,172.590,-0.064741,0.705624,-0.705623
25 Jul 2022 10:02:20.000,-179.999,11.015,90.000,-168.985,0.001,-90.000,-78.985,90.000,-89.999,-0.067857,0.703843,-0.703842,0.067874,0.000000,-0.052939,0.000011,0.052939,-90.000,0.012,172.216,-0.068014,0.705470,-0.705469
25 Jul 2022 10:02:30.000,-179.998,11.544,90.000,-168.456,0.002,-90.000,-78.456,90.000,-89.998,-0.071107,0.703522,-0.703521,0.071126,0.000000,-0.052939,0.000011,0.052939,-90.000,0.012,171.843,-0.071288,0.705308,-0.705307
25 Jul 2022 10:02:40.000,-179.998,12.074,90.000,-167.926,0.002,-90.000,-77.926,90.000,-89.998,-0.074356,0.703186,-0.703185,0.074376,0.000000,-0.052939,0.000011,0.052939,-90.000,0.012,171.469,-0.074562,0.705139,-0.705138
25 Jul 2022 10:02:50.000,-179.998,12.603,90.000,-167.397,0.002,-90.000,-77.397,90.000,-89.998,-0.077603,0.702835,-0.702834,0.077624,0.000000,-0.052939,0.000011,0.052939,-90.000,0.012,171.096,-0.077838,0.704962,-0.704961
25 Jul 2022 10:03:00.000,-179.998,13.133,90.000,-166.867,0.002,-90.000,-76.867,90.000,-89.998,-0.080848,0.702469,-0.702468,0.080871,0.000000,-0.052939,0.000011,0.052939,-90.000,0.012,170.723,-0.081114,0.704777,-0.704776
25 Jul 2022 10:03:10.000,-179.998,13.662,90.000,-166.338,0.002,-90.000,-76.338,90.000,-89.998,-0.084092,0.702088,-0.702087,0.084116,0.000000,-0.052939,0.000011,0.052939,-90.000,0.012,170.350,-0.084391,0.704585,-0.704584
25 Jul 2022 10:03:20.000,-179.998,14.191,90.000,-165.809,0.002,-90.000,-75.809,90.000,-89.998,-0.087334,0.701692,-0.701691,0.087359,0.000000,-0.052939,0.000012,0.052939,-90.000,0.013,169.977,-0.087669,0.704385,-0.704384
25 Jul 2022 10:03:30.000,-179.998,14.721,90.000,-165.279,0.002,-90.000,-75.279,90.000,-89.998,-0.090574,0.701281,-0.701280,0.090601,0.000000,-0.052939,0.000012,0.052939,-90.000,0.013,169.604,-0.090948,0.704177,-0.704176
25 Jul 2022 10:03:40.000,-179.998,15.250,90.000,-164.750,0.002,-90.000,-74.750,90.000,-89.998,-0.093812,0.700855,-0.700854,0.093840,0.000000,-0.052939,0.000012,0.052939,-90.000,0.013,169.231,-0.094228,0.703961,-0.703960
25 Jul 2022 10:03:50.000,-179.998,15.780,90.000,-164.220,0.002,-90.000,-74.220,90.000,-89.998,-0.097048,0.700414,-0.700413,0.097078,0.000000,-0.052939,0.000013,0.052939,-90.000,0.014,168.858,-0.097508,0.703738,-0.703737
25 Jul 2022 10:04:00.000,-179.997,16.309,90.000,-163.691,0.003,-90.000,-73.691,90.000,-89.997,-0.100282,0.699958,-0.699957,0.100313,0.000000,-0.052939,0.000013,0.052939,-90.000,0.014,168.486,-0.100790,0.703506,-0.703505
25 Jul 2022 10:04:10.000,-179.997,16.838,90.000,-163.162,0.003,-90.000,-73.162,90.000,-89.997,-0.103514,0.699487,-0.699486,0.103547,0.000000,-0.052939,0.000013,0.052939,-90.000,0.014,168.113,-0.104073,0.703267,-0.703266
25 Jul 2022 10:04:20.000,-179.997,17.368,90.000,-162.632,0.003,-90.000,-72.632,90.000,-89.997,-0.106743,0.699001,-0.699000,0.106778,0.000000,-0.052939,0.000013,0.052939,-90.000,0.014,167.741,-0.107357,0.703021,-0.703020
25 Jul 2022 10:04:30.000,-179.997,17.897,90.000,-162.103,0.003,-90.000,-72.103,90.000,-89.997,-0.109971,0.698501,-0.698500,0.110007,0.000000,-0.052939,0.000012,0.052939,-90.000,0.014,167.369,-0.110642,0.702766,-0.702765
25 Jul 2022 10:04:40.000,-179.997,18.427,90.000,-161.573,0.003,-90.000,-71.573,90.000,-89.997,-0.113196,0.697985,-0.697984,0.113233,0.000000,-0.052939,0.000012,0.052939,-90.000,0.013,166.997,-0.113928,0.702503,-0.702502
25 Jul 2022 10:04:50.000,-179.997,18.956,90.000,-161.044,0.003,-90.000,-71.044,90.000,-89.997,-0.116418,0.697455,-0.697453,0.116458,0.000000,-0.052940,0.000011,0.052940,-90.000,0.012,166.625,-0.117216,0.702233,-0.702232
25 Jul 2022 10:05:00.000,-179.997,19.485,90.000,-160.515,0.003,-90.000,-70.515,90.000,-89.997,-0.119639,0.696909,-0.696908,0.119679,0.000000,-0.052940,0.000011,0.052940,-90.000,0.012,166.253,-0.120505,0.701955,-0.701953
25 Jul 2022 10:05:10.000,-179.996,20.015,89.999,-159.985,0.003,-90.000,-69.985,90.000,-89.997,-0.122856,0.696349,-0.696348,0.122898,0.000000,-0.052940,0.000010,0.052940,-90.000,0.011,165.881,-0.123795,0.701668,-0.701667
25 Jul 2022 10:05:20.000,-179.996,20.544,89.999,-159.456,0.003,-89.999,-69.456,89.999,-89.997,-0.126071,0.695774,-0.695773,0.126114,0.000000,-0.052940,0.000009,0.052940,-90.000,0.010,165.510,-0.127086,0.701374,-0.701373
25 Jul 2022 10:05:30.000,-179.996,21.073,89.999,-158.927,0.004,-89.999,-68.927,89.999,-89.996,-0.129284,0.695184,-0.695183,0.129328,0.000000,-0.052940,0.000009,0.052940,-90.000,0.010,165.138,-0.130379,0.701072,-0.701070
25 Jul 2022 10:05:40.000,-179.996,21.603,89.999,-158.397,0.004,-89.999,-68.397,89.999,-89.996,-0.132494,0.694579,-0.694578,0.132539,0.000000,-0.052940,0.000009,0.052940,-90.000,0.009,164.767,-0.133673,0.700762,-0.700760
25 Jul 2022 10:05:50.000,-179.996,22.132,89.999,-157.868,0.004,-89.999,-67.868,89.999,-89.996,-0.135700,0.693960,-0.693958,0.135747,0.000000,-0.052940,0.000008,0.052940,-90.000,0.009,164.396,-0.136968,0.700443,-0.700442
25 Jul 2022 10:06:00.000,-179.996,22.662,89.999,-157.338,0.004,-89.999,-67.338,89.999,-89.996,-0.138905,0.693325,-0.693324,0.138952,0.000000,-0.052940,0.000008,0.052940,-90.000,0.009,164.026,-0.140265,0.700117,-0.700116
