"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
25 Jul 2022 10:00:10.000,-128.826042,1782.751420,-0.000037,-1.647137,-0.119025,-0.000005
25 Jul 2022 10:00:20.000,-145.291666,1781.485104,-0.000097,-1.645964,-0.134236,-0.000007
25 Jul 2022 10:00:30.000,-161.744866,1780.066739,-0.000181,-1.644652,-0.149435,-0.000010
25 Jul 2022 10:00:40.000,-178.184250,1778.496451,-0.000289,-1.643201,-0.164620,-0.000012
25 Jul 2022 10:00:50.000,-194.608428,1776.774376,-0.000420,-1.641611,-0.179792,-0.000014
25 Jul 2022 10:01:00.000,-211.016014,1774.900661,-0.000577,-1.639883,-0.194948,-0.000017
25 Jul 2022 10:01:10.000,-227.405618,1772.875460,-0.000761,-1.638015,-0.210089,-0.000020
25 Jul 2022 10:01:20.000,-243.775853,1770.698941,-0.000975,-1.636009,-0.225212,-0.000023
25 Jul 2022 10:01:30.000,-260.125331,1768.371277,-0.001219,-1.633864,-0.240317,-0.000026
25 Jul 2022 10:01:40.000,-276.452663,1765.892658,-0.001496,-1.631580,-0.255403,-0.000029
25 Jul 2022 10:01:50.000,-292.756459,1763.263281,-0.001806,-1.629156,-0.270469,-0.000033
25 Jul 2022 10:02:00.000,-309.035326,1760.483358,-0.002150,-1.626594,-0.285512,-0.000036
25 Jul 2022 10:02:10.000,-325.287872,1757.553114,-0.002527,-1.623892,-0.300533,-0.000039
25 Jul 2022 10:02:20.000,-341.512704,1754.472788,-0.002938,-1.621051,-0.315528,-0.000043
25 Jul 2022 10:02:30.000,-357.708429,1751.242635,-0.003382,-1.618071,-0.330498,-0.000046
25 Jul 2022 10:02:40.000,-373.873655,1747.862925,-0.003859,-1.614951,-0.345440,-0.000049
25 Jul 2022 10:02:50.000,-390.006991,1744.333941,-0.004367,-1.611693,-0.360352,-0.000052
25 Jul 2022 10:03:00.000,-406.107051,1740.655986,-0.004906,-1.608296,-0.375234,-0.000056
25 Jul 2022 10:03:10.000,-422.172451,1736.829374,-0.005478,-1.604761,-0.390083,-0.000059
25 Jul 2022 10:03:20.000,-438.201813,1732.854437,-0.006082,-1.601088,-0.404899,-0.000062
25 Jul 2022 10:03:30.000,-454.193764,1728.731519,-0.006718,-1.597279,-0.419679,-0.000065
25 Jul 2022 10:03:40.000,-470.146935,1724.460977,-0.007389,-1.593333,-0.434423,-0.000069
25 Jul 2022 10:03:50.000,-486.059962,1720.043182,-0.008095,-1.589250,-0.449130,-0.000072
25 Jul 2022 10:04:00.000,-501.931490,1715.478516,-0.008836,-1.585033,-0.463797,-0.000076
25 Jul 2022 10:04:10.000,-517.760163,1710.767372,-0.009613,-1.580680,-0.478425,-0.000080
25 Jul 2022 10:04:20.000,-533.544635,1705.910156,-0.010426,-1.576192,-0.493011,-0.000083
25 Jul 2022 10:04:30.000,-549.283560,1700.907284,-0.011276,-1.571570,-0.507556,-0.000087
25 Jul 2022 10:04:40.000,-564.975598,1695.759184,-0.012161,-1.566815,-0.522057,-0.000090
25 Jul 2022 10:04:50.000,-580.619410,1690.466295,-0.013079,-1.561926,-0.536513,-0.000093
25 Jul 2022 10:05:00.000,-596.213665,1685.029070,-0.014029,-1.556903,-0.550924,-0.000097
25 Jul 2022 10:05:10.000,-611.757032,1679.447974,-0.015009,-1.551748,-0.565287,-0.000099
25 Jul 2022 10:05:20.000,-627.248184,1673.723483,-0.016017,-1.546461,-0.579603,-0.000102
25 Jul 2022 10:05:30.000,-642.685802,1667.856088,-0.017051,-1.541041,-0.593868,-0.000105
25 Jul 2022 10:05:40.000,-658.068569,1661.846290,-0.018109,-1.535490,-0.608083,-0.000107
